Location,Area_sqft,BHK,Price_Lakhs
Uttam Nagar,620.0,2,31.0
Dwarka Mor,680.0,3,34.0
"Kiran Garden, Uttam Nagar",805.0,2,40.0
"Mohan Garden, Razapur Khurd",729.0,2,48.0
Uttam Nagar,540.0,2,25.0
Uttam Nagar,360.0,1,20.0
Uttam Nagar West,550.0,2,19.0
"Mitya Homes, Dwarka Mor",1001.0,3,58.0
Dwarka Mor,450.0,2,29.0
Uttam Nagar West,550.0,2,20.0
"Uttam Nagar carpet area 550 sqft status Ready to Move transaction New Property furnishing Semi-Furnished facing East overlooking Main Road bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2bhk fully furnished flats available for sale at uttam nagar, the flat is fully loaded, one singal wall texture in all bedrooms, modular kitchen, LED pannel in drawing room, wardrobes in bedroom read more Contact Agent View Phone No. Share Feedback Pranita Developers Pvt. Ltd. Certified Agent Trusted by Users Genuine Listings 100+ Buyers Served",550.0,2,26.0
Uttam Nagar,675.0,2,29.0
Uttam Nagar,585.0,2,32.0
"New Uttam Nagar, Uttam Nagar",810.0,3,54.0
Dwarka Mor,765.0,3,38.0
"The Leela Sky Villas, Patel Nagar",4688.0,5,1350.0
"The Leela Sky Villas, Patel Nagar",3901.0,4,930.0
"Patel Nagar South, Patel Nagar",70.0,2,82.0
Patel Nagar West,800.0,3,80.0
Patel Nagar West,900.0,3,95.0
Patel Nagar West,1680.0,4,200.0
Patel Nagar West,900.0,2,74.0
"Patel Nagar East, Patel Nagar",2000.0,3,375.0
Patel Nagar West,2000.0,4,150.0
